title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Sarah Beauhall ,JA Pitts,H,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Canary,Karen Joy Fowler,,,,,,,,,,,,,,,,,,,,,H,,,,
Sassinak,Anne McCaffrey and Elizabeth Moon,,,X,,,,,,,,,,,,,,,,,,,,,,
Saturn Run,John Stanford and Ctein,,,,,X,,,,,,,,,,,,,,,,,,,,
Savage Season,Joe R. Lansdale,,,,,,,,,,,,,,,,,,,,,H,,,,
Savages,K. J. Parker,,,,,,,,,,,,,,,,,,,,,H,,,,
Sawkill Girls,Claire Legrand,H,,,,,,,,,,,,,,,,,,,,,,,,
Scarlet Odyssey,C.T. Rwizi,,,,,,,,,,,,,,,H,,,,,,,,,X,
Scorched Shadows,Steve McHugh,,,,,,,,,,,,,,,,,,,,,H,,,,
Sea As Mirror,Tess Williams,,,,,,,,,,,,,,,,,,,,,H,,,,
Sea Change,S. M. Wheeler,,,,,,,,,,,,,,,,,,,,,H,,,,
Sea of Rust,C. Robert Cargill,,,,,,X,,,,,,X,,,,,,,,,,,,,
Sea of Tranquility,Emily St. John Mandel,,,,,,,,,,,,,X,,,,,,,,,,,,
"Sea, Swallow Me and Other Stories",Craig Laurance Gidney,,,,,,,,,,,,,,,,,,,,,H,,,,
Seasons of Glass and Iron,Amal El-Mohtar,H,,,,,,,,,,,,,,,,,,,,,,,,
Semiosis,Sue Burke,,H,,,,,,,,,,,,,,H,,,,,,,,,
Senlin Ascends,Josiah Bancroft,,,,,,,,X,,,X,,,,,,,,,,,,,X,
September Girls,Bennett Madison,,,,,,,,,,,,,,,,,,,,,H,,,,
Seraphina,Rachel Hartman,,,,,,,,,,,,,,,,,,,,,,,H,,
Serenity Falls,James A. Moore,,,,,,,,,,,,,,,,,,,,,H,,,X,
Servant of the Underworld,Aliette de Bodard,,,,H,,,,,,,,,,,,,,,,,,,,,
Serwa Boateng's Guide to Vampire Hunting,Roseanne A. Brown,,,,,,,,,,,H,,,,,,,,,,,,,,
Sethra Lavode,Steven Brust,,,,,,,,,,,H,,,,,,,,,,,,,,
Seven Black Diamonds,Melissa Marr,,,,,,,,,,,,,,X,,,,,,,,,,,
Seven Blades in Black,Sam Sykes,H,,,,,,,,,,,,,,,,,,,,,,,,
Seven Deaths of an Empire,G.R. Matthews,,,,,,,,,,H,,,,,,,,,,,,,,,H
Seven Summer Nights,Harper Fox,H,,,X,,H,,,,,,,,,,,,,H,,,,,H,
Several People Are Typing,Calvin Kasulke,,,,,,,,,,,,,,,,,,,,,,,,H,
Shades of Magic,V.E. Schwab,H,,,,,,,,,,,,,,,,,,,,,,,,
Shadow of a Dead God,Patrick Samphire,,,,,,,,X,,,,,,,,,,,,,,,,,
Shadow of Ashland,Terence M. Green,,,,,,,,,,,,,,,,,,,,,H,,,,
Shadow of the Fox,Julie Kagawa,,,,,,,,,H,,,,,,,,,,,,,,,,
Shadowbridge and Lord Tophet: A Shadowbridge Novel,Gregory Frost,,,,,,,,,,,,,,,,,,,,,H,,,,
Shadowland,Peter Straub,,,,,,,,,,,,,,,,,,,,,H,,,,
Shadows of Aggar,Chris Anne Wolfe,,,,,,,,,,,,,,,,,,,,,H,,,,
Shadows of Self,Brandon Sanderson,,,,,,,,X,,,,,,,,,,,,,,,,,
Shadows of the Night: Queer Tales of the Uncanny and Unusual,Greg Herren,,,,,,,,,,,,,,,,,,,,,H,,,,
Shadowshaper,Daniel José Older,,,,,,,,,,,,,,,,,,,,,H,,,,
Shapers of Darkness,David B. Coe,,,,,,,,,,,,,,,,,,,,,H,,,,
Shards of Honor,Lois McMaster Bujold,,H,,,,,,,,,,,,,,,,,,,,,,,
She Said Destroy,Nadia Bulkin,,,,,,,,,,,,,,,,,,,,,,,,H,
She Who Became the Sun,Shelley Parker-Chan,,,,H,,,X,,,H,,,,,,,,,,,,X,,,
Sheepfarmer's Daughter,Elizabeth Moon,,,,,,,,X,,,,,,,,,,,,,,,,,
Shell Game,Benny Lawrence,,,,,,H,,,,,,,,,,,,,,,,,,,
Shifting Shadows,Patricia Briggs,,,,,,,,,,,,,,,,,,H,,,,,,,
Shimmerdark,Sarah Mensinga,,,,,,,,,,,,,,,,,,,,X,,,,,
Ship of Smoke and Steel,Django Wexler,H,,,,,,,,,,,,,,,,,,,,,,,,
Shiver,Maggie Stiefvater,,,,,,,,X,,,,,,,,,,,,,,,X,,
Shreeman Yogi,Ranjeet Desai,,,,H,,,,,,,,,,,,,,,,,,,,,
Side Jobs,Jim Butcher,,,,,,,,,,,,,,,,,,H,,,,,,,
Sign of the Dragon,Mary Soon Lee,,,,,,,,,,,,,,,,,,,,X,,,,,
Signal to Noise,Silvia Moreno-Garcia,,,,,,,,,,,,,,,,,,,,,H,,,,
Signs of Life,M. John Harrison,,,,,,,,,,,,,,,,,,,,,H,,,,
Silent Children,Ramsey Campbell,,,,,,,,,,,,,,,,,,,,,H,,,,
Silk & Steel,"Janine A. Southard, ed.",,,,,,,,X,,,,,,,,,,H,,,,,,,
Silk Road,Jeanne Larsen,,,,,,H,,,,,,,,,,,,,,,,,,,
Silver in the Wood,Emily Tesh,H,,,,,,,X,,,X,,,,,,,,,,,,,,
Simon Snow,Rainbow Rowell,H,,,,,,,,,,,,,,,,,,,,,,,,
Sin du Jour,Matt Wallace,H,,,,,,,,,,,,,,,,,,,,,,,,
Singling Out The Couples,Stella Duffy,,,,,,,,,,,,,,,,,,,,,H,,,,
Sins of Empire,Brian McClellan,,,,,,,,X,,,,,,,,,,,,,,,,,
Siren Queen,Nghi Vo,,,,H,,H,,,,,,,,,,,,,,,,,,,
Sisters of the Vast Black,Lina Rather,,,,,X,,,,,,,,,,,,,,,,,,,,
Sistersong,Lucy Holland,,,,X,,H,,,,,,,,,,,,,,,,,,X,
Six Crimson Cranes,Elizabeth Lim,,,,,,,,,,,,,,,,,,,,,,,,H,
Six of Crows,Leigh Bardugo,X,,,,,,H,X,,,,,,,,,,,,,,,,,
Six Sacred Swords,Andrew Rowe,,,,,,,,,,,,,,,,,,,,,,,H,H,
Six Wakes,Mur Lafferty,,,,,,H,,,,,,,,,,,,,,,,,,,
Six-Gun Snow White,Catherynne M. Valente,,,,,,H,,,,,H,,,,,,,,,,,,,,
Sixteen Ways to Defend a Walled City,K.J. Parker,,,,,,X,,,,,,,,,,,,,,,,,,,
Skate the Thief,Jeff Ayers,,,,,,,,,,,X,,,,,,,,,H,,,,,
Skin,Kathe Koja,,,,,,,,,,,,,,,,,,,,,H,,,,
Skin and Other Stories,Roald Dahl,,,,,,,,,,,,,,,,,,H,,,,,,,
Skin Deep Magic,Craig Laurance Gidney,,,,,,,,,,,,,,,,,,,,,H,,,,
Skullsworn,Brian Staveley,,,,,,X,,,,,,,,,,,,,,,,,,,
Sky Without Stars,Jessica Brody and Joanne Rendell,,,,,,,,,,H,,,,,,,,,,,,,,,
Sky Woman,Stuart R. McCafferty,,,,,,,,,,,,,,,,,,,,H,,,,,
Skybound,Alex London,H,,,,,,,,,,,,,,,,,,,,,,,,
Skyward Inn,Aliya Whiteley,,,,,,H,,,,,,,,,,,,,,,,,,,
Slaughterhouse-5,Kurt Vonnegut,,,,,,H,,,,,,,,,,,X,,,,,,,,
Slave to Sensation,Nalini Singh,,,,,,,,,,,,,,X,,,,,,,,,,,
Sleeping Beauties,Stephen and Owen King,,,,,,H,,,,,,,,,,,,,,,H,,,,
Sleeping in Flame,Jonathan Carroll,,,,,,,,,,,,,,,,,,,,,H,,,,
Sleepless Knights,Mark H. Williams,,,,,,,,,,,,,,,,,,,,,H,,,,
Slow River,Nicola Griffith,H,,,,,,,,,,,,,,,,,,,,,,,,
Small Gods,Terry Pratchett,,,,,,X,,,,,,,,,,,,,,,,,,,
Snow City,G. A. Kathryns,,,,,,,,,,,,,,,,,,,,,H,,,,
Snow Crash,Neal Stephenson,,,,,,X,,,,,,,,,,,,,,,,,,,
Snowspelled,Stephanie Burgis,,,,,,,,X,,,,,,,,,,,,,,,,,
So This is Ever After,F.T. Lukens,,,,,,,,,,,,,X,,,,,,,,,,,,
Sodom Road Exit,Amber Dawn,,,,,,,,,,,,,,,,,,,,,H,,,,
Solaris,Stanislaw Lem,,,,,,H,,X,,,,,,,,,,,,,,,,,
Soldier of Arete,Gene Wolfe,,,,,,,,,,,,,,,,,,,,,H,,,,
Some by Virtue Fall,Alexandra Rowland,,,,,,,,,,,,,,,,,,,,,,,,H,
Some of the Best from Tor.com/2021 Edition,,,,,,,,,,,,,,,,,,,H,,,,,,,
Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,,,,,,,,,,,,,,,,,,,,,,,,H,
Someplace to Be Flying,Charles de Lint,,,,,,,,,,,,,,,,,,,,,H,,H,,
Son of a Trickster,Eden Robinson,,,,,,,,,,,,,,,,,,,,,,H,,,
Son of the Black Sword,Larry Correia,,,,,,,,,,,,,,,,,,,,,H,,,,
Son of the Storm,Suyi Davies Okungbowa,,,,,,,,,,,,,,,H,,,,,,,,,,
Song for the Basilisk,Patricia A. McKillip,,,,,,H,,,,,,,,,,,,,,,H,,,,
Song of Blood & Stone,L. Penelope,,,,,,,,X,,,,,,,,,,,,,,,,,
Song of the Beast,Carol Berg,,,,,,X,,,,,,,,,,,,,H,,,,,,
Song of the Lioness,Tamora Pierce,,,,,,,,,H,,,,,,,,,,,,,,,,
Songs for Ophelia,Theodora Goss,,,,,,,,,,,,,,,,,,,,,H,,,,
Songs of Chaos,S.N. Lewitt,,,,,,H,,,,,,,,,,,,,,,,,,,
Sooner or Later Everything Falls Into the Sea,Sarah Pinkster,H,,,,,,,X,,,,,,,,,,H,,,,,,,
Sorcerer of the Wildeeps,Kai Ashante Wilson,H,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerer Royal,Zen Cho,H,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerer to the Crown,Zen Cho,,,,X,,,,,,,,,,,,,,,,,H,,,,
Sorcerer's Legacy,Janny Wurts,,,,,,,,X,,,,,,,,,,,,,,,,,
Sorcerous Rivalry,Kayleigh Nicol,,,,,,,,,,,,,,,,,,,,,,,H,,
Sorcery and Cecelia: or The Enchanted Chocolate Pot,Patricia C. Wrede and Caroline Stevermer,,,,,,,,,,,X,,,,,,,,,,,,,,
Sorrowland,Rivers Solomon,,,,,,H,,,,,,,,,,,,,,,,X,,,H
Soulbound,Hailey Turner,H,,,,,,,,,,,,,,,,,,,,,,,,
Sourdough,Robin Sloan,,,,,,H,,,,,,,,,,,,,,,,,,,
Sovereign,April Daniels,,,,,,,,,,,,,,,,,,,,,H,,,,
Space Opera,Catherynne M. Valente,H,,,,X,X,,,,,,,,,,,,,,,,,,X,
Space Unicorn Blues,TJ Berry,,,,,X,,,,,,,,,,,,,,,,,,,H,
Spaceman Blues,Brian Francis Slattery,,,,,,,,,,,,,,,,,,,,,H,,,X,
Speaker for the Dead,Orson Scott Card,,H,,,,,,,,,,,,,,,,,,,,,,,
Speaking Dreams,Severna Park,,,,,,,,,,,,,,,,,,,,,H,,,,
Speaks the Nightbird,Robert McCammon,,,,X,,,,,,,,,,,,,,,,,,,,,
Spear,Nicola Griffith,,,,X,,,,,X,,,,,,,,,,,,,,,,
Spellbreaker,Charlie N. Holmberg,,,,X,,,,,,,,,,,,,,,,,,,,,
Spin Control,Chris Moriarty,,,,,,,,,,,,,,,,,,,,,H,,,,
Spinning Silver,Naomi Novik,,,,H,,X,,,,,,,,,,,,,,,,,,,
Spirit Caller,Krista D. Ball,,,,,,,,,,,,,,,,,,,H,,,,,,
Spit and Song,Travis M. Riddle,,,,,,,,,,,,X,,,,H,,,,H,,,,,
Spontaneous Human Combustion,Richard Thomas,,,,,,,,,,,,,X,,,,,H,,,,,,,
Spoonbenders,Daryl Gregory,,,,,,,,,,,,,,,,,,,,,,,,,H
St. Lucy's Home for Girls Raised by Wolves,Karen Russell,,,,,,,,,,,,,,,,,,,,,H,,,,
Stable Strategies and Others,Eileen Gunn,,,,,,,,,,,,,,,,,,,,,H,,,,
Stalking Darkness,Lynn Flewelling,,,,,,,,,,,,,,,,,,,,,,,H,X,
Star Eater,Kerstin Hall,,,,,,H,,,,X,,,,,,,,,,,,,,X,
Stardust,Neil Gaiman,,,,,,X,,,,,,,,,,,,,,,,,,,
Starless,Jacqueline Carey,H,,,,,X,,,,,,,,,,,,,,,,,,X,
Starship Troopers,Robert A. Heinlein,,,,,,H,,,,,,,,,,,,,,,,,,,
Static,L.A. Witt,,,,,,,,,,,,,,,,,,,,,H,,,,
Station Eleven,Emily St. John Mandel,,,,,,H,,,,,,,,,,,,,,,,,,X,
Steam,Jay B. Laws,,,,,,,,,,,,,,,,,,,,,H,,,,
Steam-powered: Lesbian Steampunk Stories,JoSelle Vanderhooft,,,,,,,,,,,,,,,,,,,,,H,,,,
Steel Crow Saga,Paul Kreuger,H,,,,,,,,,,,,,,,,,,,,,,,,
Stiger's Tigers,Marc Alan Edelheit,,,,,,,,,,,X,,,,,,,,,X,,,,,
Stigmata,Phyllis Perry,,,,,,H,,,,,,,,,,,,,,,,X,,,H
Still Waters,Alex Gabriel,,,,,,,,,,,,,,H,,,,,,,,,H,,
Stinger,Robert R. McCammon,,,,,,,,,,,,,,,,,,,,,H,,,,
Stone Bound,Eric T. Knight,,,,,,,,X,,,,,,,,,,,,,,,,,
Stories of Your Life and Others,Ted Chiang,,,,,,,,,,,,,,,,,,H,,,,,,,
Storm Warning,Mercedes Lackey,,,,,,,,,,,,,,,,,,,,,H,,,,
Stormblood,Jeremy Szal,,,,,,,,X,,,,,,,,,,,,,,,,,
Stormdancer,Jay Kristoff,,,,,,,,,,,,,,,,,,,,,H,,,,
Stormlight Archive,Brandon Sanderson,,H,,,,,,,H,,,,,,,,,,X,,,,,,
Stranded,Bracken MacLeod,,,,,,,,,,,,,,,,,,,,,H,,,X,
Stranded,Camarin Grae,,,,,,,,,,,,,,,,,,,,,H,,,X,
Strange Beasts of China,Yan Ge,,,,,,H,,,,,,,,,,,,,,,,,,,
Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,,,,,,,,X,,,,,,,,,,,,,,,,,
Strange Practice,Vivian Shaw,H,,,,,,,X,,,,,,X,,,,,,,,,,,
Strange the Dreamer,Laini Taylor,,,,,,,,,,,X,,,,,,,,,,,,,,
Stranger Back Home,E.L. Haines,,,,,,,,,,,,X,,,,,,,,H,,,,H,
Stranger in a Strange Land,Robert Heinlein,,,,,,H,,,,,,,,,,,,,,,,,,,
Strangers,Dean Koontz,,,,,,,,,,,,,,,,,,,,,H,,,,
Stravaganza,Mary Hoffman,,,,,,,,,,,,,,,,,H,,,,,,,,
Succulents and Spells,Andi Buchanan,,,,,,,,,,,,,,H,,,,,,,,,,,
Sue Slate: Private Eye,Lee Lynch,,,,,,,,,,,,,,,,,,,,,H,,,,
Suffer the Children,Craig DiLouie,,,,,,,,,,,,,,,,,,,,,H,,,,
Sufficiently Advanced Magic,Andrew Rowe,,,,,,,,X,H,,,,,,,,,,H,,,,,H,
Summer Sons,Lee Mandelo,,,,,,,,,,,,,,,,,,,H,,,,,,
Sunshine,Robin McKinley,,,,,,X,,,,,X,,,,,,,,,,,,,,
Superluminal,Vonda Mcintyre,,,,,H,,,,,,,,,,,,,,,,,,,,
Surface Detail,Iain M. Banks,,,,,,,,,,,,,,,,,,,,,,,,X,
Susurrus on Mars,Hal Duncan,H,,,,,,,,,,,,,,,,,,,,,,,,
Swami,Ranjeet Desai,,,,H,,,,,,,,,,,,,,,,,,,,,
Swan Song,Robert R. McCammon,,,,,,,,,,,,,,,,,,,,,H,,,,
Swashbuckling Cats,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Sweetness and Blessings,Charlotte Kersten,,,,,,,,X,,,,,,,,,,,H,,,,,,
Switchers,Kate Thompson,,,,,,,,,,,,,,,,,,,,,,,H,,
Sword Dancer,Jennifer Roberson,,,,,,,,,H,,,,,,,,,,,,,,,,
"Sword Stone Table: Old Legends, New Voice",Swapna Krishna,,,,,,,,,,,,,,,,,,H,,,,,,,
Swordheart,T. Kingfisher,H,,,,,,,X,X,,,,,,,,,,,,,,,,
Swords and Deviltry,Fritz Leiber,,,,,,,,X,,,,,,,,,,,,,,,,,
Swords and Fire,Melissa Caruso,H,,,,,,,,,,,,,,,,,,,,,,,,
Swords of the Rainbow (co-editor w/ Jewelle Gomez),Eric Garber,,,,,,,,,,,,,,,,,,,,,H,,,,
Swords of the Rainbow (co-editor with Eric Garber),Jewelle Gomez,,,,,,,,,,,,,,,,,,,,,H,,,,
Swordspoint,Ellen Kushner,,,,,,X,,,,,,,,,,,,,,,,,,,
Taika Town,Drew Montgomery,,,,,,,,,,,,,,,,,,,,H,,,,,
Tail of the Blue Bird,Nii Ayikwei Parkes,,,,,,,,,,,,,,,,,,,,,,X,,,
Tailchaser's Song,Tad Williams,,,,,,,,,,,,,,,,H,,,,,,,,,
Take Us To Your Chief,Drew Hayden Taylor,,,,,,,,,,,,,,,,,,,,,,H,,H,
Tale of Stars and Shadow,Lisa Cassidy,,,,,,,,,,,,,,,,,,,H,,,,,,
Tales from Ruun,Chad Retterath,,,,,,,,,,,,,,,,,,H,,,,,,H,
Tales from the Flat Earth,Tanith Lee,H,,,,,,,,,,,,,,,,,,,,H,,,,
Tales from Verania,T.J. Klune,H,,,,,,,,,,,,,,,,,,,,,,,,
Tales of Inthya,Effie Calvin,H,,,,,,,,,,,,,,,,,,,,,,,,
Talking Man,Terry Bisson,,,,,,,,,,,,,,,,,,,,,H,,,,
Tam Lin,Pamela Dean,,,,,,,,,,,,,,,,,,,,,H,,,,
Tangleroot Palace,Marjorie Liu,,,,,,,,,,,,,,,,,,H,,,,,,,
Tantalize,Cynthia Leitich Smith,,,,,,,,,,,,,,,,,,,,,,H,,,
Tapping the Dream Tree,Charles de Lint,,,,,,,,,,,,,,,,,,H,,,,,,,
Tea with the Black Dragon,R. A. MacAvoy,,,,,,,,X,,,,,,,,,,,,,,,,,
Teixicalaan,Arkady Martine,X,,,,,,,,,,,,,,,,,,,,,,,,
Tell the Machine Goodnight,Katie Williams,,,,,,,,,,,,,,,,,,,H,,,,,,
Temeraire,Naomi Novik,,,,H,,,,,,,,,,,,,,,,,,,,,
Temple Landfall,Jane Fletcher,,,,,,,,,,,,,,,,,,,,,H,,,,
Temporary Agency,Rachel Pollack,,,,,,,,,,,,,,,,,,,,,H,,,,
Ten Thousand Stitches,Olivia Atwater,,,,,,,,,,,,,,,,,H,,,,,,,H,
Tender is the Flesh,Agustina Bazterrica,,,,,,H,,,,,,,,,,,,,,,,,,,
Tensorate,Neon Yang,X,,,,,,,,,X,,,,,,,,,,,,X,,,
Termination Shock,Neal Stephenson,,,,,,H,,,,,,,,,,,,,,,,,,X,
Terra Ignota,Ada Palmer,H,,,,,,,,,,,,,,,,,,,,,,,,
Terra Nullius,Claire G. Coleman,,,,,,H,,,,,,,,,,,,,,,,H,,,
Territory,Emma Bull,,,,,,,,,,,,,,,,,,,,,H,,,,
Tess of the Road,Rachel Hartman,,,,,,,,,,,,,,,,,,,H,,,,,,
The 13 1/2 Lives of Captain Bluebear,Walter Moers,,,,,,,,,,,,,,,,H,,,,,,,,,
The 22 Murders of Madison May,Max Berry,,,,,,,,,,,H,,,,,,,,,,,,,,
The 37th Mandala,Marc Laidlaw,,,,,,,,,,,,,,,,,,,,,H,,,,
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,,,,,,H,,X,,,H,,,,,,H,,,,,,,,
The A.I. Who Loved Me,Alyssa Cole,,,,,,H,,X,,,,,,,,,,,,,,,,,
The Abyss Surrounds Us,Emily Skrutskie,H,,,,,,,,,,,,,,,,,,,,,,,,
The Acts of King Arthur and His Noble Knights,John Steinbeck,,,,,,,,,,,,,,,,,,,,,H,,,,
The Adventures of the Kapapa,J O Eshun,,,,,,,,,,,,,,,H,,,,,,,,,,
The Aeronaut's Windlass,Jim Butcher,,,,,,,,X,,,,,,,,,,,,,,,,,
The Affair of the Mysterious Letter,Alexis Hall,H,,,,,,,,,,,,,,,,,,,,,,,,
The Afterlife of Holly Chase,Cynthia Hand,,,,,,,,X,,,,,,,,,,,,,,,,,
The Alchemist in the Shadows,Pierre Pevel,,,,,,,,,,,,,,,,,,,,,H,,,,
The Alchemy Dirge,Ryan Howse,,,,,,,,X,,,,,,,,,,,,,,,,,
The Alchemy of Stone,Ekaterina Sedia,,,,,,,,,,,,,,,,,,,,,H,,,,
The Algebraist,Iain M. Banks,,,,,,H,,,,,,,,,,,,,,,,,,,
The Alloy of Law,Brandon Sanderson,,,,,,,,,,,,,,,,,,,,,H,,,,
The Amber Spyglass,Philip Pullman,,,,,,,,,,,,,,,,,,,,,H,,,,
The Amberlough Dossier,Lara Elena Donnelly,H,,,,,,,,,,,,,,,,,,,,,,,,
The Andalite Chronicles,K.A. Applegate,,,,,,,,,,,,,,,,X,,,,,,,,,
The Angel of Losses,Stephanie Feldman,,,,,,,,,,,,,,,,,,,,,H,,,,
The Annunciate,Severna Park,,,,,,,,,,,,,,,,,,,,,H,,,,
The Anomaly,Michael Rutger,,,,,,,,,,,,,,,,,X,,,,,,,,
The Anubis Gates,Tim Powers,,,,,,,,,,,,,,,X,,,,,,,,,,
The Anvil of the World,Kage Baker,,,,,,,,,,,,,,,,,,,,,H,,,,
The Arcadia Project,Mishell Baker,H,,,,,,,,,,,,,,,,,,,,,,,,
The Archer's Heart,Astrid Amara,,,,,,,,,,,,,,,,,,,,,H,,,,
The Architecture of Desire,Mary Gentle,,,,,,,,,,,,,,,,,,,,,H,,,,
The Armageddon Rag,George R.R. Martin,,,,,,,,,,,,,,,,,,,,,H,,,,
The Armless Maiden and Other Stories for Childhood's Survivors,Terri Windling,,,,,,,,,,,,,,,,,,,,,H,,,,
The Art of Starving,Sam J. Miller,H,,,,,,,,,,,,,,,,,,,,,,,,
The Assimilated Cuban's Guide to Quantum Santeria,Carlos Hernandez,,,,,,,,,,,,,,,,,,H,,,,,,,
The Atlas Six,Olivie Blake,,,,,,,,,,,,,,X,,,X,,,,,,,,
The Aurelian Cycle,Rosaria Munda,,,,,,,,,,X,,,,,,,,,,,,,,,
The Balance Academy,SE Robertson,H,,,,,,,,,,,,,,,,,,,,,,,,
The Ballad of Black Tom,Victor LaValle,,,,H,,,,,,,H,,,,,,,,,,,X,,,
The Band,Nicholas Eames,H,,,,,,,,,,,,,,,,,,,,,,,,
The Bands of Mourning,Brandon Sanderson,,,,,,,,,,,,,,,,,,,,,H,,,,
The Bards of Bone,Patricia A. McKillip,,,,,,,,,,,,,,,,,,,,,H,,,,
The Beacon Hill,SJ Himes,H,,,,,,,,,,,,,,,,,,,,,,,,
The Bear and the Nightingale,Katherine Arden,,,,H,,,,X,,,,,,,,,,,,,,,,,
The Bear Went Over the Mountain,William Kotzwinkle,,,,,,,,,,,,,,,,,,,,,H,,,,
The Beauty,Aliya Whiteley,,,,,,,,,,,,,,,,,,,,,H,,,,
The Beauty of Murder,A.K. Benedict,,,,,,,,,,,,,,,,,X,,,,,,,,
The Bedlam Stacks,Natasha Pulley,H,,,X,,,,,,,,,,,,,,,,,,,,,
The Bees,Laline Paull,,,,,,,,,,,,,,,,H,,,,,,,,,
The Beginning Place,Ursula K. Le Guin,,,,,,,,,,,,,,,,,,,,,H,,,,
The Belgariad,David Eddings,,,,,,,,,H,,,,,,,,,,,,,,,,
The Bell at Sealey Head,Patricia A. McKillip,,,,,,,,,,,,,,,,,,,,,H,,,,
The Belles,Dhonielle Clayton,,,,,,,,,,,,,,,,,,,,,,X,,,
The Betrayals,Bridget Collins,,,,H,,,,,,,,,,,,,,,,,,,,,
The Big Time,Fritz Leiber,,,,,,,,,,,,,,,,,X,,,,,,,,
The Binding,Bridget Collins,,,,X,,,,,,,,,,,,,,,,,,,,,
The Bird King,G. Willow Wilson,,,,H,,,,,,,,,,,,,,,,,H,,,,
The Black Castle,Les Daniels,,,,,,,,,,,,,,,,,,,,,H,,,,
The Black Coast,Mike Brooks,,H,,,,,,,,,,,,,,,,,,,,,,,
The Black Company,Glen Cook,,,,,,,,X,,,,,,,,,,,,,,,,,
The Black Magician Trilogy,Natasha Pulley,H,,,,,,,,,,,,,,,,,,,,,,,,
The Black Prism,Brent Weeks,,,,,,,,X,,,,,,,,,,,,,H,,,,
The Black Tides of Heaven,J. Y. Yang,,,,,,,,X,,,,,,,,,,,,,,,,,
The Blade Itself,Joe Abercrombie,,,,,,,X,X,,,,,,,,,,,,,,,,,
The Blood Tartan,Raymond St. Elmo,,,,,,,,X,,,,,,,,,,,,X,,,,,
The Blood We Spill,Jo Havens,,,,,,H,,,,,,,,,,,,,,,,,,,
The Bloody Chamber and Other Stories,Angela Carter,,,,,,,,X,,,,,,,,,,,,,,,,,
The Blue Fox,Sjón,,,,,,H,,,,,,,,,,,,,,,,,,,
The Blue Sword,Robin McKinley,,,,,,,,X,H,,,,,,,,,,,,H,,,,
The Bone Clocks,David Mitchell,,,,,,X,,,,,,,,,,,,,,,,,,,
The Bone Houses,Emily Lloyd-Jones,,,,,,H,,,,,,,,,,,,,H,,,,,,
The Bone Palace,Amanda Downum,,,,,,,,,,,,,,,,,,,,,H,,,,
The Bone Shard Daughter,Andrea Stewart,,,,,,,,,,X,,,,,,,,,,,H,X,,,
The Bone Ships,R. J. Barker,,H,,,,,,X,,,,,,,,,,,,,,,,,
The Bone Witch,Rin Chupeco,,,,,,,,X,,,,,,,,,,,,,,,,,
The Book in the Bottle,Raymond St. Elmo,,,,,,,,,,,,,,,,,,,,H,,,,,
The Book of All Hours,Hal Duncan,H,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Atrix Wolfe,Patricia A. McKillip,,,,,,,,,,,,,,,,,,,,,H,,,,
The Book of Flora,Meg Elison,,,,,,,,,,,,,,,,,,,,,H,,,,
The Book of Knights,Yves Meynard,,,,,,,,,,,,,,,,,,,,,H,,,,
The Book of Koli,M.R. Carey,,H,,,,,,,,,X,X,,,,,,,,,,,,,
The Book of Lost Tales,J. R. R. Tolkien,,,,,,,,,,,,,,,,,,,,,H,,,,
The Book of Lost Things,John Connolly,,,,,,H,,,,,,,,,,,,,,,,,,,
The Book of Night With Moon,Diane Duane,,,,,,,,,,,,,,,,H,,,,,,,,,
The Book of Skulls,Robert Silverberg,H,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Strange New Things,Michel Faber,,,,,,H,,,,,,,,,,,,,,,,,,,
The Book of the Ancestor,Mark Lawrence,,H,,,,,,,,,,,,,,,,,,,,,,,
The Book of the Long Sun,Gene Wolfe,,,,,,,,,,,,,,,,,,,,,H,,,,
The Book of Three,Lloyd Alexander,,,,,,,,X,,,,,,,,,,,,,,,,,
The Books of Babel,Josiah Bancroft,,H,,,,,,,,,,,,,,,,,,,,,,,
The Books of Great Alta,Jane Yolen,,,,,,,,,,,,,,,,,,,,,H,,,,
The Books of the Raksura,Martha Wells,H,H,,,,,,,,,,,,,,H,,,H,,,,H,,
The Boys on the Mountain,John Inman,,,,,,,,,,,,,,,,,,,,,H,,,,
The Breath of the Sun,Isaac Fellman,H,,,,,H,,,,,,,,,,,,,,,,,,,
The Bright Sessions,Lauren Shippen,H,,,,,,,,,,,,,,,,,,,,,,,,
The Brightest Shadow,Sarah Lin,,,,,,,,,,,,,,,,,,,,H,,,,,
The Brilliant Death,Amy Rose Capetta,H,,,,,,,,,,,,,,,,,,,,,,,,
The Broken Eye,Brent Weeks,,,,,,,,,,,,,,,,,,,,,H,,,,
The Broken Sword,Poul Anderson,,,,,,X,,,,,,,,,,,,,,,,,,,
The Bruising of Qilwa,Naseem Jamnia,,,,,,,,,,,,,H,,,,,,,,,,,,
